"Date","Open","High","Low","Close","Volume","ticker","name"
"1962-01-02 00:00:00-05:00","0.0574408657848835","0.05936858641098805","0.0574408657848835","0.0574408657848835","841958","DIS","The Walt Disney Company (DIS) Historical Data"
"1962-01-03 00:00:00-05:00","0.05744083804713055","0.05840469559156269","0.05744083804713055","0.058211799710989","801865","DIS","The Walt Disney Company (DIS) Historical Data"
"1962-01-04 00:00:00-05:00","0.058211799710989005","0.05840469559156269","0.057826629808277914","0.058211799710989","962238","DIS","The Walt Disney Company (DIS) Historical Data"
"1962-01-05 00:00:00-05:00","0.058211843919061396","0.05859763597319249","0.058019565144542096","0.05840473994612694","962238","DIS","The Walt Disney Company (DIS) Historical Data"
"1962-01-08 00:00:00-05:00","0.05840469559156269","0.05917566186177992","0.05705566353806067","0.058211799710989","1282984","DIS","The Walt Disney Company (DIS) Historical Data"
"1962-01-09 00:00:00-05:00","0.05821179653448306","0.0593685545027256","0.05782662665278995","0.0593685545027256","641492","DIS","The Walt Disney Company (DIS) Historical Data"
"1962-01-10 00:00:00-05:00","0.059368582749751875","0.06033244070018292","0.059368582749751875","0.05994664877653122","681585","DIS","The Walt Disney Company (DIS) Historical Data"
"1962-01-11 00:00:00-05:00","0.0599466219198311","0.06206723743882231","0.05975434329648553","0.06168144568800926","2004663","DIS","The Walt Disney Company (DIS) Historical Data"
"1962-01-12 00:00:00-05:00","0.06168146725791423","0.06187436320077614","0.058983402279675246","0.05975436419248581","2004663","DIS","The Walt Disney Company (DIS) Historical Data"
"1962-01-15 00:00:00-05:00","0.05975436419248581","0.06013953882593283","0.059368576913122265","0.05975436419248581","641492","DIS","The Walt Disney Company (DIS) Historical Data"
"1962-01-16 00:00:00-05:00","0.059368557742353605","0.059368557742353605","0.057826629808277914","0.058211799710989","360839","DIS","The Walt Disney Company (DIS) Historical Data"
"1962-01-17 00:00:00-05:00","0.058211789641883144","0.058211789641883144","0.056284692138433456","0.056284692138433456","400933","DIS","The Walt Disney Company (DIS) Historical Data"
"1962-01-18 00:00:00-05:00","0.056669899142372394","0.057826657732326835","0.056669899142372394","0.0574408657848835","320746","DIS","The Walt Disney Company (DIS) Historical Data"
